,pclass,survived,age,sibsp,parch,fare,embarked_num,family_size,sex_number,on_boat
0,3,0.0,,0,0,7.75,0.0,0,0,0
1,3,1.0,,2,0,23.25,0.0,2,1,1
2,3,1.0,,2,0,23.25,0.0,2,1,1
3,3,1.0,,2,0,23.25,0.0,2,0,1
4,3,1.0,,0,0,7.7875,0.0,0,1,1
5,3,0.0,,0,0,15.5,0.0,0,0,0
6,3,1.0,,0,0,7.8792,0.0,0,1,1
7,3,0.0,15.0,0,0,8.0292,0.0,0,1,0
8,3,0.0,35.0,0,0,7.75,0.0,0,1,0
9,3,0.0,,0,0,7.75,1.0,0,0,0
10,3,0.0,24.0,1,0,16.1,1.0,1,0,0
11,3,0.0,19.0,1,0,16.1,1.0,1,1,0
12,3,0.0,,0,0,7.75,1.0,0,1,0
13,3,1.0,,0,0,8.05,0.0,0,1,0
14,3,1.0,,0,0,8.05,0.0,0,1,0
15,3,0.0,55.5,0,0,8.05,0.0,0,0,0
16,3,0.0,,0,0,7.75,1.0,0,0,0
17,3,1.0,21.0,0,0,7.775,1.0,0,0,1
18,3,0.0,,0,0,8.05,1.0,0,0,0
19,3,0.0,24.0,0,0,7.8958,1.0,0,0,0
20,3,0.0,21.0,0,0,7.8958,0.0,0,0,0
21,3,0.0,28.0,0,0,7.8958,0.0,0,0,0
22,3,0.0,,0,0,7.8958,1.0,0,0,0
23,3,1.0,,0,0,7.8792,1.0,0,1,1
24,3,0.0,25.0,0,0,7.65,0.0,0,0,0
25,3,1.0,6.0,0,1,12.475,1.0,1,0,1
26,3,1.0,27.0,0,1,12.475,1.0,1,1,1
27,3,0.0,,0,0,8.05,1.0,0,0,0
28,3,1.0,,1,0,24.15,0.0,1,1,1
29,3,0.0,,1,0,24.15,0.0,1,0,0
30,3,0.0,,0,0,8.4583,0.0,0,0,0
31,3,0.0,34.0,0,0,8.05,1.0,0,0,0
32,3,0.0,,0,0,7.75,0.0,0,0,0
33,3,1.0,,0,0,7.775,0.0,0,0,1
34,3,1.0,,1,1,15.2458,0.0,2,0,1
35,3,1.0,,1,1,15.2458,1.0,2,0,1
36,3,1.0,,0,2,15.2458,0.0,2,1,1
37,3,0.0,,0,0,7.2292,0.0,0,1,0
38,3,0.0,,0,0,8.05,0.0,0,0,0
39,3,1.0,,0,0,7.7333,1.0,0,1,1
40,3,1.0,24.0,0,0,7.75,1.0,0,1,1
41,3,0.0,,0,0,8.05,1.0,0,0,0
42,3,1.0,,1,0,15.5,0.0,1,1,1
43,3,1.0,,1,0,15.5,1.0,1,1,1
44,3,1.0,,0,0,15.5,1.0,0,1,1
45,3,0.0,18.0,0,0,7.75,0.0,0,0,0
46,3,0.0,22.0,0,0,7.8958,0.0,0,0,0
47,3,1.0,15.0,0,0,7.225,0.0,0,1,1
48,3,1.0,1.0,0,2,15.7417,1.0,2,1,1
49,3,1.0,20.0,1,1,15.7417,1.0,2,0,1
50,3,1.0,19.0,1,1,15.7417,1.0,2,1,1
51,3,0.0,33.0,0,0,8.05,0.0,0,0,0
52,3,0.0,,0,0,7.8958,0.0,0,0,0
53,3,0.0,,0,0,7.2292,0.0,0,0,0
54,3,0.0,,0,0,7.75,0.0,0,1,0
